Experiment,Replication,A,B,C,AvgQueueOnArrival,AvgPrepQueue,AvgWaitTime,PrepUtil,TheatreUtil,RecoveryUtil,BlockingProb,RecoveryFullProb
Exp7_-++,4,-1,1,1,2.6774,3.2500,80.3775,0.9762,1.0000,0.3362,0.000000,0.0125
Exp7_-++,5,-1,1,1,0.7750,1.1875,23.7293,0.8525,0.9688,0.4012,0.005073,0.0375
Exp7_-++,6,-1,1,1,0.0000,0.0000,0.0000,0.4500,0.6750,0.3450,0.000000,0.0187
Exp7_-++,7,-1,1,1,0.0000,0.0000,0.0000,0.3213,0.4750,0.1475,0.000000,0.0000
Exp7_-++,8,-1,1,1,1.7179,1.9375,39.3291,0.8100,0.8938,0.2900,0.000000,0.0000
Exp7_-++,9,-1,1,1,0.2647,0.3937,9.5383,0.6525,0.6813,0.3150,0.000000,0.0125
Exp7_-++,10,-1,1,1,0.0588,0.1250,2.8373,0.6238,0.9062,0.3500,0.000000,0.0125
Exp7_-++,11,-1,1,1,0.0000,0.0000,0.0000,0.4775,0.5563,0.1700,0.000000,0.0000
Exp7_-++,12,-1,1,1,0.3571,0.4250,12.0665,0.7362,0.9250,0.2350,0.000000,0.0000
Exp7_-++,13,-1,1,1,0.0000,0.0000,0.0000,0.3175,0.6062,0.2650,0.000000,0.0000
Exp7_-++,14,-1,1,1,1.9375,2.3188,57.8066,0.8900,0.9938,0.2787,0.001686,0.0187
Exp7_-++,15,-1,1,1,1.7297,2.0063,45.5076,0.9788,0.9187,0.3425,0.020644,0.0813
Exp7_-++,16,-1,1,1,0.0000,0.0250,0.6112,0.4813,0.6750,0.4925,0.015784,0.0688
Exp7_-++,17,-1,1,1,0.0000,0.0000,0.0000,0.5413,0.6813,0.2712,0.000000,0.0000
Exp7_-++,18,-1,1,1,0.1379,0.1437,0.7336,0.4213,0.5125,0.2625,0.000000,0.0063
Exp7_-++,19,-1,1,1,0.1212,0.1125,2.7578,0.4288,0.5437,0.2863,0.000000,0.0063
Exp8_+++,0,1,1,1,5.8889,6.6312,127.5593,0.9975,1.0000,0.3312,0.000000,0.0000
Exp8_+++,1,1,1,1,0.8378,1.2437,26.9782,0.7688,0.9187,0.4100,0.013842,0.0250
Exp8_+++,2,1,1,1,0.6750,0.7750,16.3649,0.6650,0.8750,0.4750,0.023000,0.0500
Exp8_+++,3,1,1,1,2.1143,2.2625,51.9230,0.8475,0.9750,0.3100,0.000000,0.0000
Exp8_+++,4,1,1,1,0.7353,0.8187,18.5178,0.7525,0.9187,0.2613,0.000000,0.0000
Exp8_+++,5,1,1,1,0.7556,1.0500,17.3880,0.7100,0.8375,0.4213,0.000000,0.0688
Exp8_+++,6,1,1,1,1.7442,2.5250,41.4800,0.8600,0.9375,0.4188,0.000000,0.0375
Exp8_+++,7,1,1,1,0.0000,0.0000,0.0000,0.3937,0.7000,0.2475,0.000000,0.0063
Exp8_+++,8,1,1,1,1.5143,1.2688,27.8058,0.6100,0.6813,0.2950,0.000000,0.0125
Exp8_+++,9,1,1,1,0.3824,0.5500,12.9743,0.7213,0.7562,0.3650,0.000000,0.0063
Exp8_+++,10,1,1,1,0.0606,0.1750,3.9223,0.7325,0.9375,0.4575,0.121657,0.1688
Exp8_+++,11,1,1,1,15.6735,16.3500,269.6297,1.0000,1.0000,0.3312,0.000000,0.0000
Exp8_+++,12,1,1,1,0.5000,0.8938,20.9184,0.8538,0.8750,0.3088,0.012035,0.0375
Exp8_+++,13,1,1,1,1.2444,1.8062,32.0877,0.8700,0.9750,0.3825,0.012360,0.0250
Exp8_+++,14,1,1,1,1.1000,1.6562,29.9448,0.8788,1.0000,0.3962,0.040134,0.1375
Exp8_+++,15,1,1,1,1.8519,2.3188,67.7562,0.9413,1.0000,0.3175,0.000000,0.0000
Exp8_+++,16,1,1,1,3.0238,2.5125,48.6161,0.6925,0.7937,0.3463,0.000000,0.0000
Exp8_+++,17,1,1,1,0.8857,0.5062,11.8224,0.5338,0.8313,0.3113,0.000000,0.0000
Exp8_+++,18,1,1,1,0.0000,0.0250,0.5860,0.4838,0.5625,0.2925,0.000000,0.0187
Exp8_+++,19,1,1,1,0.0714,0.0750,2.1400,0.3788,0.5750,0.3150,0.000000,0.0063
